City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,invercargill,-46.4,168.35,10.57,74,98,2.68,NZ,1690512469
84,lloydminster,53.2835,-110.0016,12.12,94,100,1.54,CA,1690512627
85,reggane,26.7158,0.1714,37.68,11,18,3.83,DZ,1690512627
86,hadibu,12.65,54.0333,24.98,81,82,12.04,YE,1690512627
87,mancio lima,-7.6142,-72.8958,24.84,61,42,0.8,BR,1690512627
88,whitehorse,60.7161,-135.0538,24.45,44,75,3.09,CA,1690512628
89,aykhal,66.0,111.5,20.32,41,100,2.3,RU,1690512628
90,katsuren-haebaru,26.3369,127.8719,32.01,79,75,7.2,JP,1690512628
91,tazovsky,67.4667,78.7,17.06,85,98,1.54,RU,1690512628
92,nizhnyaya omka,55.4338,74.9426,21.21,59,3,3.25,RU,1690512628
93,chonchi,-42.6128,-73.8092,10.07,98,100,2.56,CL,1690512399
94,sao bento,-6.2833,-37.75,21.64,78,4,4.02,BR,1690512628
95,powell,40.1578,-83.0752,27.17,88,0,1.54,US,1690512629
96,troitsko-pechorsk,62.7084,56.1964,15.55,99,100,2.56,RU,1690512629
97,zambezi,-13.5432,23.1047,10.84,51,4,2.26,ZM,1690512629
98,riviere-du-loup,47.8304,-69.5342,20.15,83,33,1.03,CA,1690512541
99,lebu,-37.6167,-73.65,11.12,92,100,1.25,CL,1690512391
100,ushuaia,-54.8,-68.3,-2.19,74,0,1.03,AR,1690512405
101,nguigmi,14.2495,13.1092,28.81,54,82,3.77,NE,1690512629
102,harstad,68.799,16.5293,12.66,100,81,1.79,NO,1690512629
103,jalai nur,49.45,117.7,24.39,46,37,5.08,CN,1690512629
104,saint-pierre,-21.3393,55.4781,17.82,63,40,4.12,RE,1690512630
105,tanjung pandan,-2.75,107.65,30.2,57,48,4.27,ID,1690512630
106,bredasdorp,-34.5322,20.0403,8.8,90,0,1.55,ZA,1690512630
107,am timan,11.0297,20.2827,22.52,93,100,2.07,TD,1690512630
108,iskateley,67.6803,53.1512,14.0,84,100,2.92,RU,1690512630
109,luganville,-15.5333,167.1667,23.6,77,100,6.66,VU,1690512630
110,cafayate,-26.073,-65.9761,12.01,51,0,0.19,AR,1690512630
111,tamanrasset,22.785,5.5228,24.95,12,0,3.09,DZ,1690512630
112,antonio enes,-16.2325,39.9086,19.28,85,0,2.92,MZ,1690512631
113,floro,61.5996,5.0328,14.04,94,100,2.06,NO,1690512631
114,weno,7.4515,151.8468,30.97,84,75,5.14,FM,1690512631
115,campo maior,-4.8278,-42.1686,22.56,53,1,1.06,BR,1690512631
116,iqaluit,63.7506,-68.5145,7.85,81,20,2.06,CA,1690512631
117,trairi,-3.2778,-39.2689,25.48,84,36,4.13,BR,1690512448
118,yanchep,-31.55,115.6833,18.96,66,98,5.41,AU,1690512632
119,karratha,-20.7377,116.8463,23.97,28,34,7.5,AU,1690512632
120,qaqortoq,60.7167,-46.0333,6.46,74,100,0.09,GL,1690512632
121,pisco,-13.7,-76.2167,19.03,77,0,5.14,PE,1690512632
122,zhanjiang,21.2815,110.3427,33.19,59,53,6.31,CN,1690512502
123,ciudad lazaro cardenas,17.9583,-102.2,28.98,72,100,3.33,MX,1690512632
124,jumla,29.2747,82.1838,17.62,96,100,1.02,NP,1690512632
125,west island,-12.1568,96.8225,25.99,73,100,9.77,CC,1690512632
126,uturoa,-16.7333,-151.4333,26.73,76,1,3.41,PF,1690512633
127,reyes,-14.3167,-67.3833,20.2,91,5,1.21,BO,1690512633
128,okhotsk,59.3833,143.3,16.31,82,100,2.81,RU,1690512633
129,wailua homesteads,22.0669,-159.378,30.24,76,20,7.2,US,1690512633
130,kapuskasing,49.4169,-82.4331,23.0,78,75,4.12,CA,1690512541
131,st. john's,47.5649,-52.7093,19.32,92,75,9.26,CA,1690512427
132,rikaze,29.25,88.8833,9.46,82,100,0.65,CN,1690512633
133,nogliki,51.8333,143.1667,16.15,81,100,2.55,RU,1690512633
134,siwa oasis,29.2041,25.5195,27.98,53,18,4.33,EG,1690512633
135,mejit,10.2753,170.8646,28.43,79,100,8.85,MH,1690512634
136,berezovo,63.9381,65.0419,18.19,80,100,0.71,RU,1690512634
137,hobyo,5.3505,48.5268,24.38,84,99,9.68,SO,1690512634
138,fort bragg,35.139,-79.006,29.34,77,0,2.57,US,1690512467
139,albany,42.6001,-73.9662,23.36,93,15,1.63,US,1690512434
140,strelka,58.0728,93.0344,22.55,65,85,1.38,RU,1690512634
141,carnarvon,-24.8667,113.6333,17.72,52,0,4.9,AU,1690512634
142,bibiani,6.4635,-2.3194,21.63,100,100,0.94,GH,1690512634
143,rio de janeiro,-22.9028,-43.2075,22.98,78,0,3.09,BR,1690512527
144,sheridan,44.8333,-106.9173,26.21,49,0,2.57,US,1690512634
145,at taj,24.2049,23.2857,28.69,15,100,1.8,LY,1690512635
146,sinan,34.8262,126.1086,31.06,87,100,3.77,KR,1690512635
147,coahuayana de hidalgo,18.7,-103.6583,26.44,82,82,1.26,MX,1690512635
148,chibougamau,49.9168,-74.3659,16.79,72,100,1.84,CA,1690512635
149,yellowknife,62.456,-114.3525,23.29,33,75,3.09,CA,1690512635
150,sharm el-sheikh,27.8518,34.305,30.08,74,0,2.57,EG,1690512635
151,gunjur,13.2019,-16.7339,26.04,94,40,0.0,GM,1690512635
152,saint-philippe,-21.3585,55.7679,17.77,69,6,3.19,RE,1690512635
153,saipan,15.1355,145.701,28.39,100,0,4.12,MP,1690512635
154,cestos city,5.46,-9.5828,24.81,89,100,3.76,LR,1690512636
155,happy valley-goose bay,53.3168,-60.3315,17.17,59,75,2.57,CA,1690512447
156,stanley,54.868,-1.6985,14.74,92,20,0.51,GB,1690512636
157,kailua-kona,19.6406,-155.9956,30.98,73,40,4.12,US,1690512471
158,tazacorte,28.629,-17.9293,22.54,79,40,4.63,ES,1690512636
159,al kharijah,25.4514,30.5464,29.98,19,0,3.38,EG,1690512636
160,polyarnyy,69.1989,33.4478,13.72,82,43,0.58,RU,1690512636
161,ormara,25.2088,64.6357,28.12,81,100,5.24,PK,1690512636
162,donmatias,6.4857,-75.395,16.57,98,83,0.48,CO,1690512636
163,pinotepa nacional,16.3167,-98.0167,25.4,83,18,0.76,MX,1690512637
164,newman,37.3138,-121.0208,32.13,33,0,1.34,US,1690512637
165,portland,45.5234,-122.6762,27.02,46,0,3.09,US,1690512224
166,grande prairie,55.1667,-118.8027,16.1,77,75,1.54,CA,1690512637
167,fonte boa,-2.4959,-66.2662,24.72,74,58,1.22,BR,1690512637
168,hermanus,-34.4187,19.2345,11.71,78,0,1.92,ZA,1690512637
169,port augusta,-32.5,137.7667,20.01,37,23,3.39,AU,1690512637
170,wamba,8.9333,8.6,21.92,95,99,0.55,NG,1690512637
171,irymple,-34.25,142.1667,19.49,59,2,0.45,AU,1690512637
172,saurimo,-9.6608,20.3916,15.0,37,41,1.56,AO,1690512637
173,waingapu,-9.6567,120.2641,27.39,54,1,5.72,ID,1690512637
174,ancud,-41.8697,-73.8203,9.28,96,100,3.8,CL,1690512638
175,luderitz,-26.6481,15.1594,11.23,90,0,0.69,NA,1690512638
176,dudinka,69.4058,86.1778,27.57,39,1,5.15,RU,1690512638
177,hithadhoo,-0.6,73.0833,28.43,78,96,6.62,MV,1690512638
178,margaret river,-33.95,115.0667,15.35,68,91,8.61,AU,1690512638
179,fortuna,40.5982,-124.1573,17.19,80,0,4.63,US,1690511930
180,bethel,41.3712,-73.414,24.09,89,0,0.89,US,1690512638
181,aripuana,-9.1667,-60.6333,23.08,52,69,0.96,BR,1690512638
182,yigo village,13.5361,144.8886,27.63,88,0,3.6,GU,1690512639
183,san juan de miraflores,-12.1629,-76.9635,19.29,82,57,3.7,PE,1690512639
184,governador valadares,-18.8511,-41.9494,19.72,80,4,1.23,BR,1690512639
185,san patricio,28.017,-97.5169,29.97,72,0,5.73,US,1690512639
186,laojunmiao,39.8333,97.7333,29.49,14,0,7.98,CN,1690512639
187,sortavala,61.7053,30.6918,14.74,94,100,2.05,RU,1690512639
188,klyuchi,52.2667,79.1667,23.15,50,100,4.31,RU,1690512639
189,konarka,19.9,86.1167,28.22,75,75,5.14,IN,1690512639
190,ishigaki,24.3448,124.1572,30.07,84,75,10.29,JP,1690512640
191,sarapul,56.4763,53.7978,20.39,79,7,3.56,RU,1690512640
192,horta,38.5333,-28.6333,23.34,97,41,2.68,PT,1690512640
193,puerto ayora,-0.7393,-90.3518,24.75,94,33,1.34,EC,1690512640
194,utrik,11.2278,169.8474,28.5,79,62,8.69,MH,1690512640
195,manokwari,-0.8667,134.0833,28.5,72,71,2.04,ID,1690512558
196,suzhou,31.3114,120.6181,25.85,92,100,6.16,CN,1690512604
197,al hufuf,25.3646,49.5653,33.19,18,0,5.14,SA,1690512640
198,bonnyville,54.2668,-110.735,14.62,76,31,0.76,CA,1690512640
199,kone,-21.0595,164.8658,23.55,43,9,2.84,NC,1690512641
200,isafjordur,66.0755,-23.124,6.62,92,100,3.57,IS,1690512641
201,bonthe,7.5264,-12.505,24.55,92,59,3.05,SL,1690512641
202,gyumri,40.7942,43.8453,14.79,94,20,0.51,AM,1690512542
203,khorugh,37.4897,71.553,21.52,24,0,0.95,TJ,1690512641
204,khartoum,15.5518,32.5324,28.89,52,51,6.12,SD,1690512493
205,timimoun,29.2639,0.231,37.21,9,67,4.63,DZ,1690512641
206,wobulenzi,0.7283,32.5122,19.16,70,87,0.4,UG,1690512641
207,champerico,14.3,-91.9167,28.55,70,39,1.86,GT,1690512641
208,hasaki,35.7333,140.8333,37.95,70,1,5.97,JP,1690512642
209,jales,-20.2689,-50.5458,20.53,37,45,3.09,BR,1690512642
210,jilib,0.4883,42.7854,21.87,95,24,2.21,SO,1690512642
211,mtsensk,53.2766,36.5733,18.6,96,100,2.94,RU,1690512642
212,silistra,44.1167,27.2667,14.95,94,2,2.78,BG,1690512642
213,hanceville,34.0607,-86.7675,27.51,68,7,2.32,US,1690512642
214,itoman,26.1247,127.6694,32.01,74,75,8.75,JP,1690512642
215,karakol,42.4907,78.3936,21.05,52,43,1.84,KG,1690512642
216,ust'-ilimsk,58.0006,102.6619,22.67,59,99,0.99,RU,1690512643
217,balcesti,44.6167,23.95,14.51,63,1,1.4,RO,1690512643
218,san clemente del tuyu,-36.3569,-56.7235,7.21,84,100,1.38,AR,1690512643
219,chapeco,-27.0964,-52.6183,14.04,98,99,0.3,BR,1690512643
220,shahrud,36.4182,54.9763,25.24,41,5,2.39,IR,1690512643
221,garissa,-0.4536,39.6401,23.18,73,77,7.36,KE,1690512643
222,opuwo,-18.0607,13.84,14.91,47,55,2.34,NA,1690512643
